Geography,Population mid-2017 (millions),Percent of Population Ages <15,Percent of Population Ages 65+,Demographic dividend,DD Population
Portugal,10.3,14,21,65,6.695
San Marino,0.03,15,19,66,0.0198
Serbia,7,14,19,67,4.69
Slovenia,2.1,15,17,68,1.428
Spain,46.6,15,19,66,30.756
Australia,24.5,19,15,66,16.17
Federated States of Micronesia,0.1,34,4,62,0.062
Fiji,0.9,29,6,65,0.585
French Polynesia,0.3,24,7,69,0.207
Guam,0.2,25,8,67,0.134
Kiribati,0.1,35,4,61,0.061
Marshall Islands,0.06,41,3,56,0.0336
Nauru,0.01,37,13,50,0.005
New Caledonia,0.3,24,9,67,0.201
New Zealand,4.8,20,15,65,3.12
Palau,0.02,21,7,72,0.0144
Papua New Guinea,8.3,37,4,59,4.897
Samoa,0.2,37,5,58,0.116
Solomon Islands,0.7,40,3,57,0.399
Tonga,0.1,36,6,58,0.058
Tuvalu,0.01,33,5,62,0.0062
Vanuatu,0.3,36,4,60,0.18
